All Transactions Announced Date,Target/Issuer,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Percent Sought (%),Transaction Comments,"Implied Enterprise Value ($USDmm, Historical rate)","Target/Issuer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Target/Issuer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)",Consideration Offered,Target Security Types,Deal Resolution,Accounting Method,Deal Attitude,State/Region From Primary Address [Target/Issuer]
7/17/2014,"Keiro Senior HealthCare, Four California Healthcare Facilities",Announced,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",Keiro Senior HealthCare,IQTR268438496,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) agreed to acquire four California healthcare facilities from Keiro Senior HealthCare on July 17, 2014. The consideration was financed with cash. The transaction is subject to the completion of certain regulatory approvals and other closing conditions. The transaction is expected to be effective in the fourth quarter of 2014.",-,-,-,926.01,49.77,Cash,Asset,-,Purchase Acquisition,Friendly,-
7/15/2014,"Life Care Home Health, Inc.",Announced,10,"LHC Group, Inc. (NasdaqGS:LHCG)","Life Care Centers of America, Inc.",IQTR268291860,100,"LHC Group, Inc. (NasdaqGS:LHCG) entered into a definitive agreement to acquire Life Care Home Health, Inc. from Life Care Centers of America, Inc. for $10 million in cash on July 15, 2014. Life Care Home Health produced revenues of approximately $28.5 million for each of the calendar year 2013 and the trailing twelve months ended in May 2014. The transaction is subject to customary closing conditions and is expected to close on September 1, 2014. The deal is anticipated to be accretive to LHC Group's 2015 earnings and have a neutral impact expected for 2014.",10,28.5,-,646.64,20.12,Cash,Common Equity,-,Purchase Acquisition,Friendly,Tennessee
7/14/2014,"Navarro Discount Pharmacies, LLC",Announced,-,CVS Caremark Corporation (NYSE:CVS),"MBF Healthcare Partners, L.P.",IQTR268242857,100,"CVS Caremark Corporation (NYSE:CVS) agreed to acquire Navarro Discount Pharmacies, LLC on July 14, 2014. For the year ended December 31, 2013, Navarro Discount Pharmacies reported revenues of $340 million. The transaction is subject to regulatory approvals. Post acquisition the acquired stores will remain under the Navarro Discount Pharmacy brand.",-,340,-,128699,4775,Unknown,Common Equity,-,Purchase Acquisition,Friendly,Florida
7/7/2014,"Beacon Hill Healthcare, Inc.",Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR267664241,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Beacon Hill Rehabilitation on July 7, 2014. Houlihan Lokey, Inc. acted as financial advisor to Beacon Hill Healthcare, Inc.",-,-,-,926.01,49.77,Unknown,Asset,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Beacon Hill Rehabilitation on July 7, 2014.",Purchase Acquisition,Friendly,Washington
6/24/2014,"Prosthetic Laboratories of Rochester, Inc.",Closed,-,"Hanger, Inc. (NYSE:HGR)",-,IQTR266770054,100,"Hanger, Inc. (NYSE:HGR) acquired Prosthetic Laboratories of Rochester Inc. on June 24, 2014.",-,-,-,1052.69,60.09,Unknown,Common Equity,"Hanger, Inc. (NYSE:HGR) completed the acquisition of Prosthetic Laboratories of Rochester Inc. on June 24, 2014.",Purchase Acquisition,Friendly,Minnesota
6/3/2014,"Pine Manor Healthcare, Greentree Health & Rehab, Englewood Post-Acute & Rehab and Rainier Rehab",Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR265098980,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Pine Manor Healthcare Center, Greentree Health & Rehabilitation Center, Englewood Post-Acute and Rehabilitation and Rainier Rehabilitation on June 1, 2014. Pine Manor Healthcare Center and Greentree Health & Rehabilitation Center were acquired for cash. The acquisition of Pine Manor Healthcare Center and Greentree Health & Rehabilitation Center is expected to be mildly accretive to Ensign Group's earnings in 2014. Houlihan Lokey acted as financial advisor to Englewood Post-Acute and Rehabilitation & Rainier Rehabilitation.",-,-,-,926.01,49.77,Unknown,Asset,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Pine Manor Healthcare Center, Greentree Health & Rehabilitation Center, Englewood Post-Acute and Rehabilitation and Rainier Rehabilitation on June 1, 2014.",Purchase Acquisition,Friendly,-
5/13/2014,"1 Skilled Nursing Facility, 1 Home Health Agency and 3 Urgent Care Clinics",Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR263803375,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired 1 skilled nursing facility, 1 home health agency and 3 urgent care clinics during the first quarter ending March 31, 2014.",-,-,-,926.01,49.77,Unknown,Asset,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of 1 skilled nursing facility, 1 home health agency and 3 urgent care clinics during the first quarter ending March 31, 2014.",Purchase Acquisition,Friendly,-
5/8/2014,North Kitsap Primary and Urgent Care,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR263799731,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired North Kitsap Primary and Urgent Care in cash during the first quarter ending March 31, 2014.",-,-,-,926.01,49.77,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of North Kitsap Primary and Urgent Care during the first quarter ending March 31, 2014.",Purchase Acquisition,Friendly,Washington
5/7/2014,"Washington Heights Healthcare, Inc.",Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)","Milestone Healthcare, Inc.",IQTR263479883,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Mt. Ogden Health and Rehabilitation Center in cash on May 7, 2014. Ensign will retain ownership of the real estate acquired in the transaction.",-,-,-,926.01,49.77,Cash,Common Equity,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Mt. Ogden Health and Rehabilitation Center on May 7, 2014.",Purchase Acquisition,Friendly,Utah
5/6/2014,Mission Care Center And California Mission Inn,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR263383989,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Mission Care Center And California Mission Inn in cash on May 3, 2014. California Mission Inn is acquired for $1.6 million. Ensign will retain ownership of the real estate it acquired in this transaction.",-,-,-,926.01,49.77,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Mission Care Center And California Mission Inn on May 3, 2014.",Purchase Acquisition,Friendly,California
